"","Estimate","TValue","df","p.value","Significance","LowerCI","UpperCI","CohensD","DMag.","DLwrCI","DUprCI"
"Corsi Experimental - Corsi Control",-0.233075396749999,-6.15601638308675,114,1.71721959985049e-07,"***",-0.342836964638044,-0.123313828861953,-1.52187981907008,"large",-2.24883600682175,-0.794923631318409
"Digit Control - Corsi Control",0.0371726190999997,0.981807841465539,114,1,"NS",-0.0725889487880464,0.146934186988046,0.376850660518863,"small",-0.26897614991659,1.02267747095432
"Digit Experimental - Corsi Control",0.0442480158499998,1.16868410089569,114,1,"NS",-0.0655135520380464,0.154009583738046,0.382468772486682,"small",-0.263527203578807,1.02846474855217
"VPT Control - Corsi Control",0.0932458512999997,2.46282102813869,114,0.229201541368812,"NS",-0.0165157165880464,0.203007419188046,1.0529432224711,"large",0.369853060721148,1.73603338422104
"VPT Experimental - Corsi Control",-0.0719038600500003,-1.89913369942586,114,0.901115090734913,"NS",-0.181665427938046,0.0378577078380458,-0.66056363680962,"medium",-1.31795990046203,-0.00316737315720517
"Digit Control - Corsi Experimental",0.270248015849999,7.13782422455226,114,1.41395561925606e-09,"***",0.160486447961953,0.380009583738045,1.84064310362889,"large",1.07685448288049,2.6044317243773
"Digit Experimental - Corsi Experimental",0.277323412599999,7.32470048398242,114,5.50559597911615e-10,"***",0.167561844711953,0.387084980488045,1.74658207160159,"large",0.994193813724704,2.49897032947847
"VPT Control - Corsi Experimental",0.326321248049999,8.61883741122542,114,6.66133814775094e-13,"***",0.216559680161953,0.436082815938045,2.32675077052946,"large",1.4978061890921,3.15569535196682
"VPT Experimental - Corsi Experimental",0.161171536699999,4.25688268366086,114,0.000641456863839096,"***",0.0514099688119525,0.270933104588045,1.04745630864129,"large",0.364798421404077,1.73011419587851
"Digit Experimental - Digit Control",0.00707539675000002,0.186876259430153,114,1,"NS",-0.102686171138046,0.116836964638046,0.0660175941769526,"negligible",-0.574326405190747,0.706361593544652
"VPT Control - Digit Control",0.0560732322,1.48101318667315,114,1,"NS",-0.0536883356880462,0.165834800088046,0.727276365530511,"medium",0.0662825724656911,1.38827015859533
"VPT Experimental - Digit Control",-0.10907647915,-2.8809415408914,114,0.0710732698097649,"NS",-0.218838047038046,0.000685088738046097,-1.09345391575969,"large",-1.77979674101929,-0.407111090500084
"VPT Control - Digit Experimental",0.04899783545,1.294136927243,114,1,"NS",-0.0607637324380462,0.158759403338046,0.500111482522453,"medium",-0.149988256990862,1.15021122203577
"VPT Experimental - Digit Experimental",-0.1161518759,-3.06781780032156,114,0.0404119568665684,"*",-0.225913443788046,-0.00639030801195394,-0.995800555603515,"large",-1.67448676588344,-0.317114345323595
"VPT Experimental - VPT Control",-0.16514971135,-4.36195472756456,114,0.000426450967618841,"***",-0.274911279238046,-0.0553881434619539,-1.83915766456309,"large",-2.60276295754071,-1.07555237158547
